iter	Passed	Remaining
0	763	380766
1	1285	320025
2	1928	319453
3	2515	311916
4	3125	309426
5	3698	304508
6	4223	297471
7	4834	297291
8	5317	290116
9	6071	297502
10	6576	292374
11	7004	284837
12	7603	284832
13	8166	283480
14	8586	277628
15	8989	271939
16	9423	267746
17	9899	265095
18	10459	264781
19	10942	262615
20	11456	261316
21	12019	261141
22	12591	261129
23	13140	260624
24	13670	259738
25	14251	259824
26	14869	260496
27	15378	259230
28	15855	257513
29	16350	256154
30	16906	255783
31	17438	255036
32	17979	254432
33	18538	254083
34	19150	254431
35	19719	254167
36	20141	252040
37	20641	250957
38	21203	250640
39	21748	250104
40	22162	248108
41	22709	247640
42	23298	247618
43	23709	245718
44	24213	244830
45	24784	244612
46	25312	243973
47	25796	242914
48	26415	243133
49	26938	242449
50	27480	241940
51	28066	241799
52	28514	240488
53	29002	239539
54	29419	238030
55	29924	237256
56	30450	236660
57	30895	235447
58	31478	235285
59	32051	235043
60	32466	233653
61	33001	233137
62	33469	232163
63	34000	231626
64	34410	230283
65	34928	229682
66	35534	229651
67	35892	228024
68	36310	226805
69	36878	226538
70	37344	225642
71	37933	225493
72	38532	225388
73	39053	224822
74	39513	223911
75	39919	222709
76	40423	222064
77	40904	221304
78	41375	220493
79	41882	219881
80	42416	219413
81	42954	218960
82	43402	218058
83	43964	217728
84	44545	217487
85	44981	216540
86	45540	216186
87	46034	215524
88	46522	214838
89	47050	214340
90	47628	214064
91	48059	213134
92	48434	211964
93	48857	211024
94	49281	210096
95	49800	209577
96	50257	208801
97	50836	208532
98	51384	208134
99	51977	207910
100	52490	207364
101	53009	206842
102	53560	206442
103	54071	205887
104	54642	205559
105	55194	205156
106	55713	204628
107	56284	204291
108	56790	203716
109	57268	203042
110	57729	202312
111	58260	201831
112	58830	201481
113	59267	200676
114	59713	199910
115	60154	199133
116	60709	198734
117	61228	198214
118	61737	197664
119	62265	197174
120	62603	196089
121	63079	195444
122	63690	195214
123	64355	195143
124	64923	194769
125	65473	194341
126	65967	193747
127	66510	193297
128	67000	192690
129	67403	191841
130	67949	191398
131	68467	190880
132	68947	190253
133	69469	189744
134	69985	189219
135	70512	188725
136	71046	188248
137	71610	187847
138	72210	187538
139	72738	187041
140	73266	186545
141	73771	185987
142	74305	185504
143	74821	184975
144	75364	184512
145	75886	183999
146	76394	183450
147	76966	183054
148	77447	182444
149	78031	182073
150	78625	181723
151	79113	181127
152	79630	180600
153	80185	180157
154	80698	179620
155	81205	179067
156	81777	178661
157	82332	178214
158	82897	177785
159	83407	177240
160	84003	176877
161	84552	176412
162	85106	175956
163	85582	175340
164	86151	174913
165	86613	174269
166	87200	173878
167	87736	173384
168	88226	172799
169	88725	172232
170	89138	171500
171	89646	170954
172	90115	170333
173	90663	169863
174	91184	169342
175	91695	168802
176	92242	168328
177	92769	167818
178	93195	167126
179	93697	166572
180	94242	166096
181	94783	165611
182	95298	165079
183	95802	164529
184	96334	164028
185	96847	163495
186	97432	163082
187	97892	162460
188	98310	161770
189	98880	161331
190	99443	160879
191	99981	160387
192	100484	159838
193	101021	159342
194	101576	158876
195	102012	158223
196	102534	157705
197	103001	157103
198	103473	156509
199	103991	155987
200	104527	155490
201	105063	154994
202	105575	154463
203	106070	153906
204	106410	153127
205	106919	152593
206	107305	151886
207	107828	151374
208	108298	150788
209	108750	150179
210	109208	149579
